indicators_code,frequency,factor_version
S0031525,daily,V1.0
S5111905,daily,V1.0
S0031553,daily,V1.0
M0000199,daily,V1.0
G0006954,daily,V1.0
G0925982,daily,V1.0
K7780920,daily,V1.0
G0006352,daily,V1.0
G0006353,daily,V1.0
G0266632,daily,V1.0
G0266641,daily,V1.0
G0003892,daily,V1.0
S0031550,daily,V1.0
S6404620,daily,V1.0
S6410512,daily,V1.0
G0001665,daily,V1.0
N6784178,daily,V1.0
DRS00001,daily,V1.0
DRS00002,daily,V1.0
SWR00001,daily,V1.0
SWR00002,daily,V1.0
SWR00003,daily,V1.0
SWM00001,daily,V1.0
SWM00002,daily,V1.0
SWM00003,daily,V1.0
SWM00004,daily,V1.0
SWM00005,daily,V1.0
SWM00006,daily,V1.0
SWM00007,daily,V1.0
SWD00001,daily,V1.0
SWD00002,daily,V1.0
SWD00003,daily,V1.0
SWR00004,daily,V1.0
SWR00005,daily,V1.0
SWR00006,daily,V1.0
SWR00007,daily,V1.0
SWR00008,daily,V1.0
SWS00001,daily,V1.0
SWM00008,daily,V1.0
SWM00009,daily,V1.0
SWM00010,daily,V1.0
SWM00011,daily,V1.0
SWM00012,daily,V1.0
SWM00013,daily,V1.0
SWD00004,daily,V1.0
SWD00005,daily,V1.0
SWD00006,daily,V1.0
SWD00007,daily,V1.0
SWD00008,daily,V1.0
SWD00009,daily,V1.0
SWM00014,daily,V1.0
SWM00015,daily,V1.0
SWM00016,daily,V1.0
SWD00010,daily,V1.0
SWD00011,daily,V1.0
SWD00012,daily,V1.0
SWD00013,daily,V1.0
G0003956,daily,V1.0
B2559386,daily,V1.0
M0000005,daily,V1.0
M0000271,daily,V1.0
P0602235,daily,V1.0
GCCMX01H,daily,V1.0
GCCMX01O,daily,V1.0
GCCMX01L,daily,V1.0
GCCMX01C,daily,V1.0
SICMX01H,daily,V1.0
SICMX01O,daily,V1.0
SICMX01L,daily,V1.0
SICMX01C,daily,V1.0
CLNYM01H,daily,V1.0
CLNYM01O,daily,V1.0
CLNYM01L,daily,V1.0
CLNYM01C,daily,V1.0
SICMX01S,daily,V1.0
PCUKO01S,daily,V1.0
A0SHF01C,daily,V1.0
DEA10Y0D,daily,V1.0
TB0YWIPC,daily,V1.0
TB1YWI00,daily,V1.0
TB1YWI0C,daily,V1.0
TB1YWI0H,daily,V1.0
TB1YWI0L,daily,V1.0
DEA1Y00D,daily,V1.0
TB1YWI0V,daily,V1.0
TB1YWI0W,daily,V1.0
TB1YWIPC,daily,V1.0
TB5YWI00,daily,V1.0
TB5YWI0C,daily,V1.0
DEA5Y00D,daily,V1.0
TB5YWI0H,daily,V1.0
TB5YWI0L,daily,V1.0
TB5YWI0V,daily,V1.0
TB5YWI0W,daily,V1.0
TB5YWIPC,daily,V1.0
TCFE0000,daily,V1.0
DIF10Y0D,daily,V1.0
TCFE000A,daily,V1.0
TCFE000C,daily,V1.0
TCFE000H,daily,V1.0
TCFE000I,daily,V1.0
TCFE000K,daily,V1.0
TCFE000L,daily,V1.0
TCFE000S,daily,V1.0
TCFE000V,daily,V1.0
DIF1Y00D,daily,V1.0
TCFE00BV,daily,V1.0
TCFE00VR,daily,V1.0
TCFE01WR,daily,V1.0
ATR5Y00D,daily,V1.0
DIF5Y00D,daily,V1.0
TCFE0KDJ,daily,V1.0
TCFE0MA4,daily,V1.0
TCFE0MA8,daily,V1.0
TFCFE001,daily,V1.0
TFCFE002,daily,V1.0
TFCFE003,daily,V1.0
TLCFE001,daily,V1.0
TLCFE002,daily,V1.0
TMAR2101,daily,V1.0
TP630001,daily,V1.0
TSCFE001,daily,V1.0
TSCFE002,daily,V1.0
TSCFE003,daily,V1.0
USDCNH00,daily,V1.0
USDCNH0C,daily,V1.0
USDCNH0H,daily,V1.0
USDCNH0L,daily,V1.0
V6615156,daily,V1.0
WRSHF00C,daily,V1.0
X2879873,daily,V1.0
Z0164070,daily,V1.0
ZNSHF00C,daily,V1.0
DR007IB0,daily,V1.0
DR007IBC,daily,V1.0
DR007IBH,daily,V1.0
DR007IBL,daily,V1.0
DS000001,daily,V1.0
DS000002,daily,V1.0
ATRH10YD,daily,V1.0
DT000001,daily,V1.0
EMA120YD,daily,V1.0
EMA121YD,daily,V1.0
M0041653,daily,V1.0
EMA125YD,daily,V1.0
